  26 中	美
  14 贸易战	大事记
  14 大国	较量
  14 较量	中
  14 美	贸易战
  14 月	日
  11 大事记	二
   9 贸易	协议
   9 贸易	争端
   6 在	月
   5 第一阶段	贸易
   5 时政	风云
   5 的	谈判
   4 总统	特朗普
   4 美国	总统
   4 打	贸易战
   4 美	贸易
   4 的	中国
   3 谈判代表	刘鹤
   3 签署	第一阶段
   3 高级	课程
   3 风云	评论
   3 非常	德国
   3 足坛	体坛
   3 评论	分析
   3 经纬	科技
   3 经济	纵横
   3 经典	回顾
   3 纵横	文化
   3 签署	协议
   3 科技	环境
   3 环境	足坛
   3 文化	经纬
   3 总理	刘鹤
   3 德语	培训
   3 德国	时政
   3 影音	经典
   3 引发	一场
   3 在线	报导
   3 图像	影音
   3 加征	关税
   3 分析	经济
   3 体坛	图像
   3 中国	商品
   3 中国	不怕
   3 一项	协议
   3 美国	的
   3 中国	副
   3 不怕	打
   3 美	贸易谈判
   3 的	贸易
   3 教	德语
   3 姆	努钦
   3 副	总理
   3 更	多
   3 于	月
   3 两	国
   2 中国共产党	专题报道
   2 中美关系	关键词
   2 专题报道	习近平
   2 进口商品	征收
   2 第一阶段	协议
   2 意见反馈	打印
   2 全球股市	应声
   2 专题报道	全景
   2 外商投资	法
   2 周永康	专题报道
   2 薄熙来	汉诺威
   2 国务卿	基辛格
   2 博览会	周永康
   2 习近平	薄熙来
   2 贸易战	中国
   2 特朗普	突然
   2 汉诺威	工业
   2 多媒体	中心
   2 习马会	中国
   2 习近平	访美
   2 习近平	反击
   2 贸易战	但
   2 特朗普	则
   2 关键词	中
   2 访美	中国共产党
   2 集团	中美关系
   2 达成	第一阶段
   2 中方	谈判代表
   2 中国	进口商品
   2 观看	习马会
   2 美国	农产品
   2 磋商	特朗普
   2 工业	博览会
   2 争端	习近平
   2 主题	习近平
   2 达成	一项
   2 贸易	代表
   2 谈判	结束
   2 表示	如果
   2 节目	德语
   2 美国	方面
   2 美中	两国
   2 直播	所有
   2 申请	失业
   2 汇率	操纵
   2 此页	固定
   2 正在	直播
   2 最后	一轮
   2 日期	主题
   2 无果	而终
   2 提高	关税
   2 提升	关税
   2 指数	下跌
   2 报导	非常
   2 打印	此页
   2 打印	打印
   2 所有	节目
   2 德语	天地
   2 德国	之声
   2 影响	美国
   2 延长	谈判
   2 应声	大跌
   2 失业	补助
   2 天地	德语
   2 培训	高级
   2 固定	链接
   2 取消	关税
   2 反腐	风暴
   2 反击	协议
   2 公平	贸易
   2 全球	经济
   2 全景	观看
   2 会晤	共识
   2 中美	两国
   2 中心	正在
   2 中国	希望
   2 中国	反腐
   2 一场	真正
   2 风暴	国
   2 财长	姆
   2 谈判	的
   2 谈判	在
   2 课程	教
   2 表示	中
   2 背景	下
   2 美国	前
   2 操纵	国
   2 提高	到
   2 接近	于
   2 持续	的
   2 报道	称
   2 征收	的
   2 开年	大
   2 希望	在
   2 召开	的
   2 双方	的
   2 协议	的
   2 关税	的
   2 关税	使
   2 关税	从
   2 中方	的
   2 世界	上
   2 下跌	点
   2 一轮	的
   2 国	领导人
   2 前	国务卿
   2 达	不成
   2 美	谈判
   2 的	时间
   2 的	华为
   2 的	关税
   2 的	信号
   2 的	争议
   2 法	出台
   2 有	消息
   2 是	最后
   2 就	贸易
   2 对	价值
   2 对	中国
   2 在	峰会
   2 在	北京
   2 国	集团
   2 但	中国
   2 于	达成
   2 不	公平
   2 月	的
   2 日	对
   2 仍	将
   2 了	天
   2 个	月
   1 亚太经合组织	峰会
   1 李京慧乐然	路透社
   1 美国财政部	宣布
   1 美国商务部	表示
   1 华尔街日报	周五
   1 长期存在	特朗普
   1 重大进展	但是
   1 进口产品	提高
   1 达成协议	然而
   1 起起伏伏	谈判
   1 贸易谈判	进度
   1 贸易谈判	经历
   1 贸易谈判	掀桌
   1 联系方式	移动
   1 美国股市	再次
   1 美国公司	购买
   1 经济学家	提供
   1 纳斯达克	综合
   1 紧张局势	进行
   1 知识产权	货币
   1 知识产权	行为
   1 知识产权	强迫
   1 知识产权	因此
   1 满腹狐疑	大国
   1 消息人士	报道
   1 正确轨道	大国
   1 横生枝节	因为
   1 智利政府	宣布
   1 数据保护	责任
   1 数据保护	声明
   1 操之过急	认为
   1 技术转让	窃取
   1 我为人人	德国
   1 强制执行	机制
   1 富有成效	中国
   1 外资企业	不受
   1 南华早报	报导
   1 全国人大	会议
   1 乒乓外交	为例
   1 两利斗则	俱伤
   1 金融服务	等
   1 通讯设备	是
   1 达成协议	的
   1 贸易谈判	再
   1 贸易协定	但
   1 财政部长	姆
   1 美国公司	的
   1 第一阶段	的
   1 突如其来	的
   1 相互尊重	和
   1 果真如此	或
   1 技术转让	和
   1 开展业务	的
   1 应用程序	的
   1 变本加厉	也
   1 先发制人	中
   1 世界遗产	之
   1 特朗普	突如其来
   1 特朗普	先发制人
   1 路透社	法新社
   1 贸易战	贸易战
   1 见分晓	年月日
   1 第十三	轮中美
   1 特朗普	讲中美
   1 农产品	特朗普
   1 高级别	磋商
   1 领导人	宣称
   1 阿根廷	会晤
   1 进一步	加剧
   1 轮中美	经贸
   1 贸易战	继续
   1 贸易战	影响
   1 贸易战	前景
   1 贸易战	再现
   1 角度看	世界
   1 莱茵河	难民
   1 第一次	提出
   1 第一批	没有
   1 看起来	迎来
   1 相互间	产生
   1 特朗普	此前
   1 特朗普	指责
   1 特朗普	展示
   1 特朗普	宣布
   1 特朗普	周二
   1 特朗普	会谈
   1 特朗普	亲自
   1 法新社	大国
   1 未知数	大国
   1 替代品	如果
   1 更多人	申请
   1 新一轮	谈判
   1 推特上	宣称
   1 年月日	美国
   1 实质性	谈判
   1 大事记	二月
   1 大事记	二年
   1 大事记	二上
   1 基辛格	认为
   1 基辛格	在内
   1 基辛格	周四
   1 国务卿	亨利
   1 同一天	美国
   1 华盛顿	进行
   1 华盛顿	表示
   1 华盛顿	参加
   1 办公室	会见
   1 分歧点	在于
   1 农产品	购买
   1 农产品	北京
   1 代表团	预计
   1 亿美金	美国
   1 亿美元	中国
   1 人民币	汇率
   1 人士处	获悉
   1 习近平	表示
   1 习近平	我们
   1 习近平	强调
   1 习近平	书信
   1 习近平	中国
   1 一部分	受到
   1 一下子	解决
   1 领导人	在
   1 路透社	等
   1 路透社	则
   1 赴美国	与
   1 贸易战	还
   1 贸易战	的
   1 贸易战	如
   1 讲中美	和
   1 经济体	的
   1 特朗普	都
   1 特朗普	还
   1 特朗普	在
   1 特朗普	又
   1 特朗普	也
   1 特朗普	与
   1 特朗普	一
   1 消费者	会
   1 新一轮	的
   1 年月日	就
   1 年月日	在
   1 小学生	岁
   1 好消息	中
   1 失业率	在
   1 基辛格	中
   1 华盛顿	和
   1 十几个	月
   1 亿美元	的
   1 习近平	用
   1 习近平	托
   1 习近平	将
   1 习近平	在
   1 举办权	中
   1 中美能	在
   1 中文网	据
   1 举办	亚太经合组织
   1 协议	华尔街日报
   1 香港	南华早报
   1 随后	美国股市
   1 达成	贸易协定
   1 谷歌	应用程序
   1 谈判	富有成效
   1 美国	财政部长
   1 窃取	知识产权
   1 盗窃	知识产权
   1 理由	操之过急
   1 月初	贸易谈判
   1 援引	消息人士
   1 措施	全球股市
   1 损害	美国公司
   1 强迫	技术转让
   1 强制	技术转让
   1 就是	外商投资
   1 寻求	达成协议
   1 如何	变本加厉
   1 声明	联系方式
   1 可谓	横生枝节
   1 可能	达成协议
   1 反馈	意见反馈
   1 危机	世界遗产
   1 协议	意见反馈
   1 包括	知识产权
   1 包含	强制执行
   1 关税	果真如此
   1 关于	第一阶段
   1 保护	知识产权
   1 依然	满腹狐疑
   1 之声	数据保护
   1 中国	进口产品
   1 风云	习近平
   1 面对	特朗普
   1 随后	特朗普
   1 配合	特朗普
   1 连岁	小学生
   1 进行	新一轮
   1 贸易	代表团
   1 让步	特朗普
   1 能够	一下子
   1 美国	相互间
   1 美国	国务卿
   1 结束	贸易战
   1 经贸	高级别
   1 经济	更多人
   1 知情	人士处
   1 畅游	莱茵河
   1 波澜	特朗普
   1 支持	消费者
   1 挑起	贸易战
   1 持续	十几个
   1 总统	办公室
   1 很大	一部分
   1 带来	习近平
   1 峰会	举办权
   1 展示	习近平
   1 契机	特朗普
   1 大跌	新一轮
   1 多次	看起来
   1 变数	基辛格
   1 反击	习近平
   1 参加	第十三
   1 原本	华盛顿
   1 即使	中美能
   1 协议	同一天
   1 加剧	习近平
   1 前往	华盛顿
   1 刘鹤	特朗普
   1 出炉	路透社
   1 关税	年月日
   1 兑换	人民币
   1 元首	阿根廷
   1 信号	特朗普
   1 价值	亿美元
   1 亨利	基辛格
   1 产品	习近平
   1 争议	进一步
   1 之声	中文网
   1 主题	多媒体
   1 主席	习近平
   1 中美	贸易战
   1 中旬	见分晓
   1 中国	多媒体
   1 两个	经济体
   1 鸿蒙	系统
   1 高兴	表示
   1 香港	开年
   1 飞赴	美国
   1 风云	广告
   1 频道	服务
