 108 U	S
  96 Accessed	Dec
  86 Dec	6
  86 6	2019
  36 Wall	Street
  36 The	Wall
  35 Street	Journal
  28 Trump	s
  26 tariffs	on
  17 United	States
  17 Trade	War
  16 the	EU
  16 tariff	on
  16 2018	the
  15 trade	war
  15 Washington	Post
  15 The	Washington
  14 Journal	U
  13 the	United
  13 on	U
  13 billion	in
  11 the	U
  11 of	the
  11 of	U
  11 of	Chinese
  11 Tariffs	on
  11 Chinese	imports
  10 trade	deficit
  10 to	China
  10 the	trade
  10 the	administration
  10 billion	of
  10 agreed	to
  10 Tariffs	Accessed
  10 Dec	7
  10 7	2019
   9 with	China
   9 York	Times
   9 The	New
   9 On	May
   9 New	York
   9 25	tariff
   8 a	25
   8 2018	Trump
   7 to	the
   7 s	Trade
   7 on	the
   7 in	China
   7 administration	announced
   7 a	trade
   7 The	Balance
   7 Post	Trump
   7 On	March
   7 Journal	Trump
   7 China	to
   7 China	s
   6 on	Chinese
   6 it	would
   6 in	the
   6 imports	from
   6 and	Mexico
   6 Trade	Wars
   6 S	exports
   6 On	June
   6 On	April
   6 2019	Trump
   5 world	s
   5 trade	agreement
   5 to	reduce
   5 the	world
   5 the	steel
   5 reduce	the
   5 raise	prices
   5 on	imported
   5 on	200
   5 into	effect
   5 in	Chinese
   5 for	the
   5 economic	growth
   5 asked	China
   5 announced	tariffs
   5 Trump	threatened
   5 On	July
   5 It	s
   5 Billion	in
   5 200	billion
   5 1	2019
   4 worth	of
   4 went	into
   4 threatened	to
   4 threatened	a
   4 the	tariff
   4 the	World
   4 the	Economy
   4 tariff	would
   4 retaliatory	tariffs
   4 of	Trump
   4 imports	are
   4 imports	The
   4 imports	It
   4 goods	It
   4 consumer	goods
   4 billion	worth
   4 billion	to
   4 announced	it
   4 announced	a
   4 and	the
   4 almost	all
   4 agreement	with
   4 View	All
   4 Trump	and
   4 The	U
   4 States	Trade
   4 S	trade
   4 January	1
   4 It	would
   4 EU	and
   4 Credit	Cards
   4 Chinese	Imports
   4 Chinese	Goods
   4 China	for
   4 China	agreed
   4 America	s
   4 A	trade
   4 2018	China
   4 200	Billion
   4 16	billion
   4 12	billion
   4 10	tariff
   4 1	2018
   3 with	a
   3 wants	to
   3 to	end
   3 to	cut
   3 to	avoid
   3 to	Trump
   3 to	Impose
   3 to	25
   3 they	would
   3 the	prices
   3 the	long
   3 the	largest
   3 the	average
   3 the	2018
   3 tariffs	The
   3 steel	tariff
   3 steel	and
   3 s	the
   3 s	tariffs
   3 s	largest
   3 retaliated	with
   3 quotas	on
   3 prices	of
   3 part	of
   3 on	steel
   3 on	60
   3 on	16
   3 of	this
   3 more	U
   3 it	will
   3 is	the
   3 is	part
   3 in	goods
   3 in	a
   3 in	U
   3 in	2019
   3 goods	The
   3 from	the
   3 from	China
   3 deficit	by
   3 cost	the
   3 can	t
   3 by	0
   3 auto	imports
   3 at	the
   3 as	Trade
   3 and	Aluminum
   3 all	U
   3 a	nation
   3 a	10
