   3 Tuesday	January
   3 Trump	s
   3 Ron	Johnson
   3 January	07
   3 Donald	Trump
   3 2018	04
   3 07	2020
   2 v23	47
   2 to	the
   2 to	Government
   2 the	Trend
   2 the	Editor
   2 s	Guide
   2 of	the
   2 o	Timothy
   2 o	Salena
   2 o	Philip
   2 o	Paul
   2 o	Michael
   2 o	Kristen
   2 o	Hugo
   2 o	Fred
   2 o	David
   2 o	Dan
   2 o	Byron
   2 in	Trump
   2 Zito	o
   2 York	o
   2 White	House
   2 Washington	Secrets
   2 Videos	Podcasts
   2 Trend	Barone
   2 Trade	War
   2 Tony	Mecia
   2 Timothy	P
   2 Tech	Cyber
   2 Tariff	Man
   2 TWS	Podcast
   2 Summit	Beltway
   2 Spending	Courts
   2 Soltis	Anderson
   2 Security	Energy
   2 Secrets	Newsletters
   2 Sea	Island
   2 Salena	Zito
   2 Reader	Member
   2 Politics	White
   2 Politics	Policy
   2 Policy	News
   2 Policy	Defense
   2 Policy	Bosses
   2 Podcasts	Ahead
   2 Philip	Klein
   2 Peter	Navarro
   2 Paul	Bedard
   2 Page	1
   2 PM	Donald
   2 P	Carney
   2 Opinion	Editorials
   2 Opinion	Business
   2 Op	Eds
   2 News	Opinion
   2 Navarro	Haley
   2 National	Security
   2 Multimedia	Videos
   2 Modern	Conservatives
   2 Michael	Barone
   2 Member	Login
   2 Member	Access
   2 Magazine	Latest
   2 Magazine	Editions
   2 Login	Member
   2 Letters	to
   2 Latest	Edition
   2 Kristen	Soltis
   2 Klein	o
   2 Island	Summit
   2 Hugo	Gurdon
   2 House	Congress
   2 Healthcare	Finance
   2 Hannan	o
   2 Haley	Byrd
   2 Gurdon	o
   2 Guide	to
   2 Government	Modern
   2 Freddoso	o
   2 Fred	Barnes
   2 Foreign	All
   2 Finance	Economy
   2 Energy	Healthcare
   2 Election	All
   2 Eds	Letters
   2 Editorials	Columnists
   2 Editorial	Cartoons
   2 Editor	Editorial
   2 Editions	Digital
   2 Edition	All
   2 Economy	Tech
   2 Digital	Reader
   2 Defense	National
   2 David	Freddoso
   2 Dan	Hannan
   2 Cyber	Budgets
   2 Current	Page
   2 Courts	Foreign
   2 Contributors	Op
   2 Conservatives	Policy
   2 Congress	Campaigns
   2 Confidential	Washington
   2 Columnists	o
   2 Cartoons	All
   2 Carney	o
   2 Campaigns	2020
   2 Byron	York
   2 Business	Magazine
   2 Budgets	Spending
   2 Bosses	Sea
   2 Beltway	Confidential
   2 Bedard	o
   2 Barone	s
   2 Barone	o
   2 Barnes	Contributors
   2 Andrew	Egger
   2 Anderson	o
   2 All	Politics
   2 All	Policy
   2 All	Opinion
   2 All	Magazine
   2 Ahead	of
   2 Access	Multimedia
   2 47	2018
   2 42	PM
   2 2020	Election
   2 2018	08
   2 2018	05
   2 08	20
   2 04	42
   1 www	googletagmanager
   1 will	increase
   1 war	Stories
   1 trade	war
   1 tr	id
   1 to	Tariff
   1 the	Footsoldiers
   1 the	Caravan
   1 tech	The
   1 tariff	tactics
   1 tactics	Tiana
   1 sycophancy	shows
   1 straight	ahead
   1 statue	dog
   1 stare	straight
   1 side	of
   1 shows	error
   1 serious	portrait
   1 s	tariff
   1 s	Trade
   1 s	Tariff
   1 s	China
   1 pressure	will
   1 portrait	stare
   1 policy	issue
   1 p	c1
   1 on	NBA
   1 of	every
   1 ns	html
   1 noscript	1
   1 jpg	Welcome
   1 jpg	Meet
   1 jpg	Bipartisan
   1 issue	Rise
   1 increase	Standoff
   1 id	GTM
   1 id	224132531296438
   1 https	www
   1 html	id
   1 high	tech
   1 googletagmanager	com
   1 from	Peter
   1 foreign	policy
   1 every	foreign
   1 ev	PageView
   1 error	in
   1 dog	China
   1 cv	2
   1 com	ns
   1 cj	1
   1 c5	amp
   1 c2	15743189
   1 c15	tr
   1 c1	2
   1 between	Tuesday
   1 backlash	on
   1 and	the
   1 amp	cv
   1 amp	cj
   1 amp	c5
   1 amp	c2
   1 amp	c15
   1 amp	amp
   1 ahead	Donald
   1 ____________________	BUTTON
   1 With	Peter
   1 With	China
   1 Welcome	to
   1 Washington	Examiner
   1 War	With
   1 War	Tony
   1 Wants	Answers
   1 WELL	v23
   1 Use	Privacy
   1 USA	Andrew
   1 Twitter	Terms
   1 Trump	statue
   1 Trump	serious
   1 Trump	and
   1 Trump	Ron
   1 Trade	Automobiles
   1 Town	USA
   1 TonyMecia	jpg
   1 Tiana	Lowe
   1 The	pressure
   1 The	Real
   1 Terms	Of
   1 Tech	Dominance
   1 Tariffs	With
   1 Tariffs	Forever
   1 Tariff	Town
   1 Tariff	Feedback
   1 Talks	Tariffs
   1 TWS	TonyMecia
   1 TM6VK66	trade
   1 Subscribe	Newsletters
   1 Stories	Current
   1 Stelzer	September
   1 Standoff	between
   1 Staff	Advertise
   1 September	15
   1 September	08
   1 Search	Tuesday
   1 ScottOlson_Getty	jpg
   1 Rise	____________________
   1 Rights	Reserved
   1 Reserved	
   1 Real	Trade
   1 Privacy	Policy
   1 President	Donald
   1 Policy	Copyright
   1 Podcast	November
   1 Podcast	December
   1 PageView	noscript
   1 PM	WELL
   1 PM	Chinese
   1 PM	Caravan
   1 Over	High
   1 Of	Use
   1 October	10
   1 November	29
   1 November	26
   1 Newsletters	Tuesday
   1 Newsletters	IFRAME
   1 Newsletters	Facebook
   1 NBA	s
   1 NAFTA	Mexico
   1 Mexico	Trade
   1 Meet	the
   1 Mecia	December
   1 Mecia	August
   1 Mecia	5
   1 Man	Tariff
   1 Man	TWS
   1 Magazine	Archive
   1 M	Stelzer
   1 Lowe	October
   1 Loop	Andrew
   1 LOG	v23
   1 Johnson	Wants
   1 Johnson	Talks
   1 Johnson	Ron
   1 J	Trump
   1 Is	Over
   1 Irwin	M
   1 Immigration	Trump
   1 IFRAME	https
   1 High	Tech
   1 GTM	TM6VK66
   1 Forever	Irwin
   1 Footsoldiers	in
   1 Feedback	Loop
