   5 Jane	Cai
   4 trade	war
   3 their	backers
   3 the	trade
   3 in	the
   3 Cai	Jane
   2 war	by
   2 think	tanks
   2 tanks	serving
   2 serving	only
   2 only	their
   2 officials	have
   2 interest	Photo
   2 have	been
   2 hamstrung	in
   2 by	think
   2 been	hamstrung
   2 backers	interest
   2 Photo	Shutterstock
   2 Oct	2018
   2 Beijing	officials
   2 Advertisement	Advertisement
   2 22	Oct
   1 with	the
   1 war	advice
   1 war	Jane
   1 trade	battle
   1 to	serve
   1 to	Beijing
   1 their	supervisors
   1 the	early
   1 the	US
   1 the	South
   1 the	Beijing
   1 that	Beijing
   1 supervisors	Some
   1 since	the
   1 serve	their
   1 s	economic
   1 responses	to
   1 research	or
   1 political	news
   1 policymakers	Experts
   1 or	gave
   1 on	for
   1 offending	their
   1 of	the
   1 news	since
   1 largely	avoided
   1 is	the
   1 interests	Topic
   1 insufficient	research
   1 have	largely
   1 has	called
   1 has	been
   1 gave	responses
   1 for	advice
   1 financial	business
   1 filtered	trade
   1 experts	filtered
   1 experts	did
   1 economic	financial
   1 early	2000s
   1 did	insufficient
   1 covering	China
   1 called	on
   1 business	and
   1 been	covering
   1 battle	with
   1 backers	interests
   1 avoided	offending
   1 and	political
   1 advice	to
   1 advice	in
   1 Updated	12
   1 US	have
   1 US	China
   1 Topic	US
   1 TOP	PICKS
   1 South	China
   1 Some	experts
   1 Shutterstock	READ
   1 Shutterstock	China
   1 She	has
   1 READ	FULL
   1 Published	11
   1 Post	She
   1 PICKS	Link
   1 Morning	Post
   1 Link	Copied
   1 FULL	ARTICLE
   1 Experts	that
   1 Diplomacy	Chinese
   1 Copied	Beijing
   1 Chinese	experts
   1 China	trade
   1 China	s
   1 China	Morning
   1 China	Diplomacy
   1 Chief	of
   1 Cai	Published
   1 Cai	CFA
   1 CFA	is
   1 Bureau	Chief
   1 Beijing	policymakers
   1 Beijing	has
   1 Beijing	Bureau
   1 Advertisement	TOP
   1 Advertisement	Beijing
   1 Advertisement	
   1 ARTICLE	Jane
   1 49am	22
   1 39pm	22
   1 2018	Updated
   1 2018	Advertisement
   1 2000s	Advertisement
   1 12	39pm
   1 11	49am
