  10 22	3a
   8 the	FT
   8 Show	more
   8 BUTTON	Show
   7 Most	Read
   6 Middle	East
   6 Financial	Times
   5 Work	Careers
   5 Life	Arts
   4 trade	war
   4 the	US
   4 in	2020
   4 Sign	In
   4 How	to
   4 3a	7b
   4 22	2c
   3 to	Spend
   3 search	bar
   3 ____________________	BUTTON
   3 US	Companies
   3 Tech	Markets
   3 Spend	It
   3 Skip	to
   3 Search	the
   3 Moral	Money
   3 Lex	Alphaville
   3 In	Subscribe
   3 Home	World
   3 Graphics	Opinion
   3 FT	____________________
   3 FT	Globetrotter
   3 BUTTON	Search
   3 BUTTON	Close
   3 America	should
   2 with	the
   2 will	outperform
   2 vows	to
   2 to	expel
   2 to	Hong
   2 tied	to
   2 the	Dr
   2 the	2020s
   2 than	ever
   2 tensions	rise
   2 successor	vows
   2 should	drop
   2 s	successor
   2 s	fortunes
   2 s	Newspaper
   2 rise	Qassem
   2 pulls	back
   2 outperform	expectations
   2 on	assassination
   2 of	the
   2 nuclear	deal
   2 more	tied
   2 from	the
   2 from	nuclear
   2 from	Middle
   2 fortunes	are
   2 fastFT	Alphaville
   2 fallacy	on
   2 expel	US
   2 expectations	in
   2 drop	the
   2 drawer	menu
   2 deal	as
   2 back	from
   2 as	Middle
   2 are	more
   2 and	North
   2 and	China
   2 View	The
   2 US	from
   2 US	and
   2 US	Politics
   2 US	Economy
   2 US	China
   2 UK	US
   2 Travel	FT
   2 Trading	Moral
   2 Today	s
   2 The	US
   2 The	Financial
   2 The	FT
   2 The	Big
   2 Telecoms	Transport
   2 Tech	Sector
   2 Style	Travel
   2 Soleimani	s
   2 Services	Retail
   2 Sector	Telecoms
   2 Search	BUTTON
   2 School	Rankings
   2 Retail	Consumer
   2 Recruitment	Business
   2 Read	Instant
   2 Read	America
   2 Rankings	Business
   2 Qassem	Soleimani
   2 Professional	Services
   2 Portfolio	Today
   2 Politics	Policy
   2 Policy	US
   2 Personal	Finance
   2 Pacific	Emerging
   2 Obituaries	Letters
   2 North	Africa
   2 Newspaper	ePaper
   2 News	feed
   2 More	from
   2 Media	Professional
   2 Markets	Europe
   2 Markets	Data
   2 Markets	Commodities
   2 Management	Trading
   2 Magazine	House
   2 Kong	than
   2 Iran	tensions
   2 Iran	pulls
   2 Instant	Insight
   2 Insight	Lex
   2 Industrials	Media
   2 House	Home
   2 Hong	Kong
   2 Home	Style
   2 Help	Centre
   2 Health	Industrials
   2 HSBC	s
   2 Global	Economy
   2 Fund	Management
   2 Food	Drink
   2 Financials	Health
   2 FT	View
   2 FT	Magazine
   2 Evil	fallacy
   2 Europe	Americas
   2 Equities	Fund
   2 Entrepreneurship	Recruitment
   2 Energy	Financials
   2 Emerging	Markets
   2 Education	Entrepreneurship
   2 Economy	US
   2 Economy	UK
   2 East	tensions
   2 East	and
   2 Drink	FT
   2 Dr	Evil
   2 Data	Capital
   2 Currencies	Equities
   2 Consumer	Tech
   2 Commodities	Currencies
   2 Columnists	The
   2 Close	search
   2 China	will
   2 China	Africa
   2 Carlos	Ghosn
   2 Capital	Markets
   2 Business	Travel
   2 Business	School
   2 Business	Education
   2 Business	Books
   2 Books	Food
   2 Books	Business
   2 Big	Read
   2 Asia	Pacific
