  14 Donald	Trump
  13 de	la
  13 Etats	Unis
  12 la	Chine
   8 sa	monnaie
   8 les	Etats
   7 de	l
   6 m	abonne
   6 guerre	commerciale
   6 Gabriel	Matzneff
   5 leJDD	fr
   5 entre	les
   5 Unis	et
   5 Logo	leJDD
   4 à	la
   4 qui	a
   4 milliards	de
   4 la	guerre
   4 dollars	d
   4 de	dollars
   4 de	Donald
   4 d	une
   4 Edouard	Philippe
   3 va	t
   3 son	homologue
   3 pour	une
   3 monnaie	pour
   3 les	deux
   3 importations	chinoises
   3 et	son
   3 deux	pays
   3 d	être
   3 d	importations
   3 cours	de
   3 ce	qui
   3 achèteJe	m
   3 Xi	Jinping
   3 Unis	Donald
   3 Le	président
   3 La	Chine
   3 Je	m
   3 J	achèteJe
   3 Chine	est
   3 Carlos	Ghosn
   2 être	franchie
   2 étape	vient
   2 épreuves	de
   2 écrivain	Christian
   2 à	un
   2 à	l
   2 à	Edouard
   2 web	récemment
   2 vient	d
   2 une	réforme
   2 une	grande
   2 une	du
   2 un	site
   2 t	il
   2 sur	le
   2 sur	Gabriel
   2 supprimé	Gabriel
   2 sous	tension
   2 soixantaine	de
   2 site	web
   2 ses	activités
   2 secrets	d
   2 réforme	des
   2 réforme	acceptable
   2 récemment	supprimé
   2 retrait	de
   2 reprises	ce
   2 racontait	ses
   2 que	les
   2 que	Pékin
   2 président	américain
   2 proposent	à
   2 profiter	de
   2 plusieurs	reprises
   2 petits	secrets
   2 petit	marquis
   2 personnalités	de
   2 par	le
   2 nouvelle	étape
   2 marquis	de
   2 lui	même
   2 leurs	idées
   2 les	petits
   2 les	négociations
   2 le	retrait
   2 le	premier
   2 le	petit
   2 le	même
   2 le	cours
   2 le	6
   2 le	29
   2 la	réforme
   2 la	crise
   2 l	une
   2 l	année
   2 l	Iran
   2 juin	au
   2 journal	du
   2 islamique	va
   2 il	profiter
   2 idées	pour
   2 homologue	chinois
   2 grande	évasion
   2 gauche	demandent
   2 fr	est
